trial,seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout,rmse_mean,rmse_std
26,42,12,0.0050353125614800145,32,32,2,3,0.30000000000000004,0.44496871685281997,0.11091715839644384
27,42,16,0.0012955465362925304,16,32,1,3,0.4,0.4463174089751348,0.12765196115633756
28,42,4,0.00010099394122187656,32,64,2,3,0.30000000000000004,0.43238911992678125,0.11400868761588846
29,42,12,0.0003447121577357968,16,128,1,5,0.1,0.5133056243840283,0.14967705680423982
0,123,4,0.0027475015086811214,32,32,2,3,0.1,0.4476290373358598,0.10252842728595732
1,123,4,0.00115785766280239,32,32,1,3,0.30000000000000004,0.4380932941194396,0.09570599209726138
2,123,16,0.0007106578875225894,32,64,2,7,0.4,0.5170450117588501,0.155895306912979
3,123,12,0.0016818569396284966,32,32,1,7,0.2,0.45966414956785534,0.12688052321133275
4,123,16,0.004838211787792581,32,128,1,3,0.0,0.48212718090022416,0.15193302611355275
5,123,4,0.002460702200023734,32,128,3,3,0.1,0.4870446767004764,0.10733005997339781
6,123,8,0.0015358677921079923,16,32,2,3,0.1,0.5252187587917763,0.18921315027801
7,123,16,0.0005884040083055758,32,64,2,3,0.4,0.4197630939634225,0.11844353069212797
8,123,4,0.006365356696810573,16,64,3,7,0.4,0.6760557591631162,0.14750504637931613
9,123,16,0.0012460261167843497,32,32,3,3,0.4,0.49069840269800585,0.1500082425352089
10,123,12,0.00021222195601381522,16,64,2,5,0.30000000000000004,0.481172872529217,0.1614347851970079
11,123,8,0.00047593255068745845,32,64,1,5,0.30000000000000004,0.4609005719301023,0.11051171981896739
12,123,16,0.00030767912623837695,32,32,1,3,0.30000000000000004,0.41546653135579187,0.12014584050992826
13,123,16,0.00013119473231909472,32,64,1,3,0.30000000000000004,0.44060792591088943,0.1394912747708727
14,123,16,0.0004653520720501674,16,128,2,3,0.2,0.4631840861437379,0.13154467373894513
15,123,16,0.00026454770509855155,32,32,2,5,0.4,0.45798521859515934,0.12423601983812595
