trial,seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout,rmse_mean,rmse_std
18,42,12,0.0016124084896173211,32,32,1,5,0.4,0.38835235482064073,0.09912735350889067
19,42,16,0.0006687902666583148,32,128,2,3,0.30000000000000004,0.37452173027107527,0.06803520210191248
20,42,16,0.0006729579221100337,32,128,2,3,0.30000000000000004,0.3982621389999344,0.057347733228395786
21,42,16,0.005079222005157886,32,128,2,3,0.4,0.6211292834010624,0.12853231740675783
22,42,16,0.0019061388199146001,32,128,2,3,0.30000000000000004,0.4108830051239578,0.07120165523028063
23,42,16,0.0008572474094137634,32,128,3,3,0.4,0.4243842960301369,0.052549057449085085
24,42,16,0.00010112738112247534,32,32,1,3,0.30000000000000004,0.4541912761619491,0.14828520450372928
25,42,12,0.00453206637488298,32,128,2,5,0.4,0.6224503046909072,0.11641709067465371
26,42,4,0.000557891315191515,32,64,3,3,0.30000000000000004,0.3837326815776903,0.07487530750981028
27,42,4,0.0005327728346858338,32,64,3,3,0.2,0.4099600343072418,0.07660787988330098
28,42,4,0.0009383174015126098,32,64,3,3,0.30000000000000004,0.409595088883663,0.080178833702211
29,42,8,0.0004673695419883186,32,64,2,3,0.30000000000000004,0.38386752838036137,0.09405106635761155
0,123,4,0.0027475015086811214,32,32,2,3,0.1,0.4217361753419951,0.09482961257905907
1,123,4,0.00115785766280239,32,32,1,3,0.30000000000000004,0.3948710621603078,0.0852202901636264
2,123,16,0.0007106578875225894,32,64,2,7,0.4,0.3892107062018492,0.08559315447697378
3,123,12,0.0016818569396284966,32,32,1,7,0.2,0.3831190427873157,0.0858991384257164
4,123,16,0.004838211787792581,32,128,1,3,0.0,0.5507123830283868,0.15308421780421708
5,123,4,0.002460702200023734,32,128,3,3,0.1,0.4286604009155912,0.09275120795309423
6,123,8,0.0015358677921079923,16,32,2,3,0.1,0.44988525422789954,0.0945706268911928
7,123,16,0.0005884040083055758,32,64,2,3,0.4,0.3800970350792266,0.08123442414273152
8,123,4,0.006365356696810573,16,64,3,7,0.4,0.7791969818020507,0.2064904053907706
9,123,16,0.0012460261167843497,32,32,3,3,0.4,0.37221856741550746,0.09213328359099404
10,123,12,0.00012409445777823762,16,32,3,5,0.30000000000000004,0.4236383706566458,0.11842802047399176
11,123,16,0.00041751018547044353,32,64,2,5,0.4,0.38356420378163736,0.0924058051563624
12,123,16,0.00034629896332879535,32,64,3,3,0.30000000000000004,0.38077858736530396,0.08289826026089729
13,123,16,0.0005213327294354194,32,64,2,3,0.4,0.37754218748717866,0.08249358198890132
14,123,8,0.00020397191240482395,16,128,3,3,0.30000000000000004,0.49536368204637954,0.08816084087023063
