trial,seed,window_size,learning_rate,batch_size,dropout,d_model,n_heads,n_layers,dim_ff,max_lag,rmse_mean,rmse_std
5,123,4,0.00048630868766759677,32,0.0,128,8,2,128,7,0.4473633281832887,0.10879089120622658
6,123,12,0.00010124559317316255,16,0.1,128,2,4,128,6,0.46303144707468125,0.11922215391206237
7,123,8,0.00025649902528062084,32,0.0,64,4,1,128,7,0.4411010171163632,0.12642076609356265
8,123,12,0.002136706630089905,16,0.2,64,8,2,64,7,0.4845497727966727,0.1429505038509517
9,123,16,0.0001808266326782649,32,0.1,64,4,4,256,6,0.43260857567899835,0.1378722101751948
10,123,4,0.009803377414327042,32,0.4,32,2,1,64,2,0.4381449298546194,0.09291590203193448
11,123,16,0.005880232355180569,16,0.30000000000000004,32,2,3,64,4,0.45734378991095204,0.1273291111268909
12,123,16,0.0042291126160991935,16,0.30000000000000004,32,8,3,64,4,0.5188660589957114,0.21702202947438168
13,123,4,0.0007450391972630799,16,0.2,32,2,2,64,5,0.43326574162464676,0.10636435960199565
14,123,16,0.003010849641778899,32,0.30000000000000004,32,8,3,64,2,0.42105260268984274,0.10471856383669334
15,123,16,0.0030755858131280922,32,0.30000000000000004,32,2,1,64,2,0.41096747323266314,0.10777292191803918
16,123,16,0.003513062655941717,32,0.30000000000000004,32,2,1,256,2,0.4171606603161487,0.10731551147798467
17,123,16,0.0059118127026734375,32,0.2,32,2,1,256,3,0.40953733205298654,0.10717221058627346
18,123,16,0.006039405859269113,32,0.2,32,2,1,256,3,0.4192767087523687,0.11153684018132802
19,123,16,0.00110161671464615,32,0.4,32,2,1,256,3,0.4166954744040629,0.10065763475590368
20,123,8,0.009700055577072809,32,0.2,128,2,1,256,3,0.5997469119133706,0.24698487684253362
21,123,16,0.001089254093163393,32,0.4,32,2,1,256,3,0.42044723870730777,0.10674685132352839
22,123,16,0.005355567315132677,32,0.4,32,2,1,256,3,0.41852522628103017,0.11100386471453118
23,123,16,0.0009817809841311024,32,0.4,32,2,1,256,2,0.41941601351456165,0.10910259107031653
24,123,16,0.0020603837194376694,32,0.30000000000000004,32,2,2,256,3,0.41646955549035897,0.10558776527341691
25,123,16,0.002183857253262235,32,0.2,32,2,2,256,4,0.41953674002535807,0.10718021069931176
26,123,16,0.00425951927142118,32,0.30000000000000004,32,2,2,256,2,0.4227874113946079,0.09731843887810082
27,123,16,0.0021602847244552147,32,0.30000000000000004,32,2,2,256,3,0.4250536654291412,0.10275004896880943
28,123,12,0.007421022893024325,32,0.2,32,2,1,128,4,0.42345192183489805,0.12371613360037731
